connection_type,correspondent,date,reformatted_date,from,to,location,full_text,source,index_topic_shapiro,index_person_shapiro,index_shapiro_texts,,,,,
correspondence,"Barclay, Robert",04/24/1676,"24 April, 1676","Barclay, Robert",Princess Elisabeth,London,Y,Shapiro 186-8,,"Barclay, David;",,,,,,
correspondence,"Barclay, Robert",07/21/1676; 07/31/1676,"21/31 July, 1676",Princess Elisabeth,"Barclay, Robert",Herford,Y,Webb 327-8; Hodgkin 256-7; Shapiro 188-9,Aberdeen Prison; ,"Barclay, David; Furly, Benjamin;",,,,,,
correspondence,"Barclay, Robert",09/06/1676,"Sep. 6, 1676","Barclay, Robert",Princess Elisabeth,Edinburgh,Y,Shapiro 189-90,Aberdeen Prison; ,"Barclay, David; ",,,,,,
correspondence,"Barclay, Robert",10/06/1676,"Oct. 6, 1676",Princess Elisabeth,"Barclay, Robert",,Y,Shapiro 190-1; Godfrey 323-4,"Aberdeen Prison; Hanover, Elector of (Ernst Augustus, Duke of Brunswick-Lüneburg); ","Brandenburg, Elector of (Frederick William); Furly, Benjamin;",,,,,,test
correspondence,"Barclay, Robert",10/28/1676,28 October 1676,"Barclay, Robert",Princess Elisabeth,Ury,Y,Shapiro 191-2,"Aberdeen Prison; Hanover, Elector of (Ernst Augustus, Duke of Brunswick-Lüneburg); ","Furly, Benjamin;",,,,,,
correspondence,"Barclay, Robert",12/01/1676; 12/11/1676,1/11 December 1676,Princess Elisabeth,"Barclay, Robert",,Y,Shapiro 192-3,"Hanover, Elector of (Ernst Augustus, Duke of Brunswick-Lüneburg); ",,,,,,,
correspondence,"Barclay, Robert",10/24/1676,24 October 1676,"Barclay, Robert",Princess Elisabeth,Aberdeen Prison,Y,Shapiro 193-5; Godfrey 325,imprisonment at Aberdeen; ,"Barclay, Robert, ",,,,,,
correspondence,"Barclay, Robert",02/09/1677; 02/19/1677,9/19 February 1677,Princess Elisabeth,"Barclay, Robert",,Y,Shapiro 196; Godfrey 325,"imprisonment at Aberdeen; good(s), actions, rule for; ","Barclay, Robert,",,,,,,
correspondence,"Barclay, Robert",03/05/1677,5 March 1677,"Barclay, Robert",Princess Elisabeth,Aberdeen Prison,Y,Shapiro 196-99; Godfrey 325-6,"imprisonment at Aberdeen; good(s), actions, rule for; Hanover, Elector of (Ernst Augustus, Duke of Brunswick-Lüneburg); ","Barclay, Robert,",,,,,,
correspondence,"Barclay, Robert",03/01/1677; 03/11/1677,"March 1/11, 1677",Princess Elisabeth,"Barclay, Robert",,Y excerpt,,,,,,,,,
correspondence,"Barclay, Robert",03/16/1677,16 March 1677,"Barclay, Robert",Princess Elisabeth,Aberdeen Prison,Y,Shapiro 199-201; Godfrey 326,imprisonment at Aberdeen;,"Barclay, Robert, ",,,,,,
correspondence,"Barclay, Robert",06/15/1677,15 June 1677,"Barclay, Robert",Princess Elisabeth,London,Y,Shapiro 201-3,imprisonment at Aberdeen; ,"Barclay, Robert, Craven, William, Lord and Earl of; Furly, Benjamin;",,,,,,
correspondence,"Barclay, Robert",06/06/1677; 06/16/1677,6/16 July 1677,Princess Elisabeth,"Barclay, Robert",,Y,Shapiro 203,"Hanover, Elector of (Ernst Augustus, Duke of Brunswick-Lüneburg); ","Craven, William, Lord and Earl of; Furly, Benjamin;",,,,,,
correspondence,"Barclay, Robert",03/01/1677; 03/11/1677,1/11 March 1677,Princess Elisabeth,"Barclay, Robert",,Y,Shapiro 204-5,,"Conway, Anne; York, Duke of ( James Stuart or James II of England); ",,,,,,
correspondence,"Barclay, Robert",07/12/1677,12 July 1677,"Barclay, Robert",Princess Elisabeth,Theobalds near London,Y,Shapiro 205-6,,"York, Duke of ( James Stuart or James II of England); ",,,,,,
correspondence,"Barclay, Robert",11/25/1677,25 November 1677,Princess Elisabeth,"Barclay, Robert",Ruden,Y,Shapiro 206-7,,"York, Duke of ( James Stuart or James II of England); ",,,,,,
correspondence,"Barclay, Robert",12/28/1677,28 December 1677,"Barclay, Robert",Princess Elisabeth,Ury,Y,Shapiro 207-9,,"Conway, Anne; ",,,,,,
correspondence,"Barclay, Robert",10/27/1678,"Oct. 27, 1678","Barclay, Robert",Sarah Fell,,Y,Webb 342,,,,,,,,
correspondence,"Barclay, Robert",05/06/1679,6 May 1679,"Barclay, Robert",Princess Elisabeth,Rotterdam,Y,Shapiro 209-10,,,,,,,,
correspondence,"Chanut, Pierre",02/19/1650,"Feb. 19, 1650","Chanut, Pierre",Princess Elisabeth,,Y,Godfrey 219,,,,,,,,
correspondence,"Chanut, Pierre",04/??/1650,"April, 1650","Chanut, Pierre",Princess Elisabeth,,Y,Godfrey 219-222,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",04/30/1660,"April 30, 1660",Princess Elisabeth,"Charles Louis, Elector Palatine",Krossen,Y,Godfrey 283,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",09/??/1650; 10/??/1650; 11/??/1650,Autumn 1650,Princess Elisabeth,"Charles Louis, Elector Palatine",Krossen,Y,Godfrey 230-232,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",12/??/1650,December 1650,Princess Elisabeth,"Charles Louis, Elector Palatine",Krossen,Y excerpts,Godfrey 233,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",12/24/1650,"December 24, 1650",Princess Elisabeth,"Charles Louis, Elector Palatine",Krossen,Y,Godfrey 233-234,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",01/??/1651,"Early 1651, after CL's response to the ibid. letter",Princess Elisabeth,"Charles Louis, Elector Palatine",Krossen,Y excerpts,Godfrey 235,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",01/??/1651; 02/??/1651,"Two weeks after ibid., a response to letter from CL a week after ibid.",Princess Elisabeth,"Charles Louis, Elector Palatine",Krossen,Y,Godfrey 235-6,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",02/17/1651,"Feb. 17, 1651",Princess Elisabeth,"Charles Louis, Elector Palatine",Krossen,Y excerpt,Godfrey 239-40,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",??/??/????,1652? ,Princess Elisabeth,"Charles Louis, Elector Palatine",,Y,Godfrey 253-4,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",09/??/1652,September 1652,Princess Elisabeth,"Charles Louis, Elector Palatine",Heidelberg,Y excerpt,Godfrey 259-60,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",10/??/1652,October 1652,Princess Elisabeth,"Charles Louis, Elector Palatine",Heidelberg,Y,Godfrey 260-1,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",06/??/1652,June 1652,Princess Elisabeth,"Charles Louis, Elector Palatine",Augsburg,N,Godfrey 261,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",06/??/1653; 07/??/1653; 08/??/1653,Summer of 1653,Princess Elisabeth,"Charles Louis, Elector Palatine",Augsburg,N,Godfrey 261,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",12/20/1672,"Dec. 20, 1672","Charles Louis, Elector Palatine",Princess Elisabeth,Fredericksburg,Y,Foucher 187-8,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",01/27/1674,"Jan. 27, 1674","Charles Louis, Elector Palatine",Princess Elisabeth,,Y,Foucher 189-90,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",03/07/1674,"March 7, 1674","Charles Louis, Elector Palatine",Princess Elisabeth,Fredericksburg,Y,Foucher 191-192,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",10/14/1676; 10/24/1676,"Oct. 14/24, 1676","Charles Louis, Elector Palatine",Princess Elisabeth,Fredericksburg,Y,Foucher 193,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",10/09/1676; 10/17/1676,"Oct. 9/17, 1676","Charles Louis, Elector Palatine",Princess Elisabeth,,Y,Foucher 194-5,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",02/03/1677; 03/13/1677,"Feb. 3/13, 1677","Charles Louis, Elector Palatine",Princess Elisabeth,,Y,Foucher 196,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",03/05/1677,"March 5, 1677","Charles Louis, Elector Palatine",Princess Elisabeth,,Y,Foucher 197-8,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",12/15/1677; 12/25/1677,"March 5, 1677","Charles Louis, Elector Palatine",Princess Elisabeth,,Y,Foucher 200-201,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",03/16/1678,"March 16, 1678","Charles Louis, Elector Palatine",Princess Elisabeth,,Y,Foucher 202-203,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",07/05/1678; 07/15/1678; 07/05/1579; 07/15/1679,"July 5/15, [1678/9]","Charles Louis, Elector Palatine",Princess Elisabeth,,Y,Foucher 204-5,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",08/01/1679,"Aug. 1, 1679","Charles Louis, Elector Palatine",Princess Elisabeth,,N,mentioned in Foucher 206,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",08/09/1679,"Aug. 9, 1679","Charles Louis, Elector Palatine",Princess Elisabeth,Fredericksburg,Y,Foucher 206,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",09/07/1679,"Sep. 7, 1679","Charles Louis, Elector Palatine",Princess Elisabeth,,Y,Foucher 207,,,,,,,,
correspondence,"Charles Louis, Elector Palatine", 09/12/1679; 09/22/1679,"September 12/22, 1679",Princess Elisabeth,"Charles Louis, Elector Palatine",,N,Godfrey; 344,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",10/18/1679; 10/28/1679,"Oct. 18/28, 1679","Charles Louis, Elector Palatine",Princess Elisabeth,Fredericksburg,Y,Foucher 210-1,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",10/20/1679; 10/30; 1679,"Oct. 20/30, 1679","Charles Louis, Elector Palatine",Princess Elisabeth,Fredericksburg,Y,Foucher 212; Godfrey 346,,,,,,,,
correspondence,"Charles Louis, Elector Palatine",06/24/1680,"June 24, 1680","Charles Louis, Elector Palatine",Princess Elisabeth,Fredericksburg,Y,Foucher 215,,,,,,,,
correspondence,"Colvius, Andreas",??/??/1643,1643,"Colvius, Andreas",Princess Elisabeth,,Y excerpt,Pal 47,,,,,,,,
correspondence,"Coventry, Henry",07/07/1673,"July 7, 1673",Princess Elisabeth,"Coventry, Henry",,Y excerpt,Pal 256,,,,,,,,
correspondence,"Descartes, René",05/06/1643,"May 6, 1643",Princess Elisabeth,"Descartes, René",The Hague,Y,Shapiro 61-2,"action(s), human: voluntary; animal spirits; causation/causes: mechanist account(s); causation/causes: in mind-body interaction; Elisabeth, Princess of Bohemia: concern with privacy of correspondence; voluntary action;",,,,,,,
correspondence,"Descartes, René",05/21/1643,"May 21, 1643","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 63-7,"analogy/analogies: heaviness as a real quality to union of soul and body; being, as a primitive notion; body, human: distinct from the soul/mind; body, human: interaction with soul/mind; body, human: union with soul/mind; body/bodies; body/bodies, notions belonging to body alone; body/bodies, power with which one acts on another;  causation/causes: in mind-body interaction; duration as a primitive notion; Elisabeth, Princess of Bohemia: concern with privacy of correspondence; extension: primitive notion of; will: inclination of; wonder; understanding; union of mind and body, as primitive notion; union of mind and body, and real distinction; ",,,,,,,
correspondence,"Descartes, René",06/10/1643,"June 10, 1643",Princess Elisabeth,"Descartes, René",The Hague,Y,Shapiro 67-9,"analogy/analogies: heaviness as a real quality to union of soul and body; body, human: ability to govern the soul/mind; body, human: interaction with soul/mind; body/bodies; causation/causes: in mind-body interaction; extension: of the soul/mind; Bohemia, House of; habit(s)/Habituation; truths; vapor(s); ",,,,,,,
correspondence,"Descartes, René",06/28/1643,"June 28, 1643","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 69-71,"analogy/analogies: heaviness as a real quality to union of soul and body; body, human: distinct from the soul/mind; body, human: interaction with soul/mind; body, human: union with soul/mind; body/bodies, knowl- edge of; body/bodies, as substance; conversation, and knowledge of soul- body union; Descartes, René: on his critics; extension: conceived by understanding and imagination; extension: of matter; extension: of the soul/mind; God: knowledge of; understanding; understanding, versus imagination and sensation; understanding, pure; union of mind and body, knowledge of; union of mind and body, and real distinction; Utrecht, University of; vapor(s); ",,,,,,,
correspondence,"Descartes, René",07/01/1643,"July 1, 1643",Princess Elisabeth,"Descartes, René",The Hague,Y,Shapiro 72-3,"body, human: interaction with soul/mind; error, rule for avoiding; extension: of the soul/mind; understanding, versus imagination and sensation; ","Bergen, Anthonie Studler Van Surck, sieur de;",,,,,,
correspondence,"Descartes, René",11/17/1643,"November 17, 1643","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 73-7; Foucher 54; Bennett 8,"body, human: interaction with soul/mind; geometry: method of problem solving; geometry: problem of three circles (Apollonius’s problem); ","Bergen, Anthonie Studler Van Surck, sieur de;",,,,,,
correspondence,"Descartes, René",11/21/1643,"November 21, 1643",Princess Elisabeth,"Descartes, René",The Hague,Y,Shapiro 77; Foucher 54-5,Apollonius’s problem; geometry: method of problem solving; geometry: problem of three circles (Apollonius’s problem); ,,,,,,,
correspondence,"Descartes, René",11/29/1643,"November 29, 1643","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 78-81,Apollonius’s problem; geometry: method of problem solving; geometry: problem of three circles (Apollonius’s problem); vanity; ,,,,,,,
correspondence,"Descartes, René",07/08/1644,"July 8, 1644","Descartes, René",Princess Elisabeth,Paris,Y,Shapiro 81-2; Bennett 8-9,"anger;  animal spirits; astrologers; body, human: ability to excite soul; body, human: construction of; body, human: power of soul over; compassion; Descartes, René: travel to/from France; Elisabeth, Princess of Bohemia: health of; expression of passions; fear; will: and conduct of the animal spirits; will: and the passions; ",,,,,,,
correspondence,"Descartes, René",08/01/1644,"August 1, 1644",Princess Elisabeth,"Descartes, René",The Hague,Y,Shapiro 82-4; Foucher 56-8; Bennett 10-1,"body/bodies; conscience; friendship; will: and understanding; good(s), knowledge of; understanding; ","Aristotle; Bergen, Anthonie Studler Van Surck, sieur de; Voetius, Gisbertus;",,,,,,
correspondence,"Descartes, René",08/??/1644,August 1644,"Descartes, René",Princess Elisabeth,Le Crevis,Y,Shapiro 84-5; Bennett 11-2,"Descartes, René: travel to The Hague; ",,,,,,,
correspondence,"Descartes, René",05/18/1645,"May 18, 1645","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 85-88; Foucher 61 (summary); Bennett 12-3,"action(s), human: praise- and blame-worthy; attention, diversion of; body, human: influence of soul on; compassion; conscience; contentment (of mind); contentment (of mind), causes of; Descartes, René: on his solitude; duty, knowledge of; Elisabeth, Princess of Bohemia: health of; Epicurus: on pleasure; felicity, dependent on oneself; felicity, and fortune; Fortune; friendship; good(s), just value of; tragedies, and happiness/sadness; ",,,,,,,
correspondence,"Descartes, René",05/24/1645,"May 24, 1645",Princess Elisabeth,"Descartes, René",The Hague,Y,Shapiro 88-90; Bennett 14-5; Foucher 61-4,"anxiety; body, human: disorders of; body, human: influence of soul on; body, human: and weakness of sex; body/bodies; Bohemia, House of; conscience; Descartes, René: on his solitude; Elisabeth, Princess of Bohemia: concern with privacy of correspondence; Elisabeth, Princess of Bohemia: health of; evils; felicity, and fortune; Fortune; friendship; White, Thomas (Albanus); ","Beverwyck, Johan; Digby, Kenelm;",,,,,,
correspondence,"Descartes, René","05/??/1645, 06/??/1645","May or June, 1645","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 91-3; Foucher 65 (summary); Bennett 15-6,"attention, diversion of; blood: circulation of; contentment (of mind), dependent on the individual; contentment (of mind), and health; contentment (of mind),  dependent on the individual; Descartes, René: on his health; Elisabeth, Princess of Bohemia: health of; enemies; expression of passions; friendship; good(s); tragedies, and happiness/sadness; understanding, and considerations of unpleasant things; understanding, versus imagination and sensation; ","Digby, Kenelm; ",,,,,,
correspondence,"Descartes, René",06/22/1645,"June 22, 1645",Princess Elisabeth,"Descartes, René",The Hague,Y,Shapiro 93-4; Foucher 65-6; Bennett 16-7,"body, human: disorders of; body, human: strength/weakness tied to that of mind; Elisabeth, Princess of Bohemia: health of; friendship; Groningen, University of; understanding, versus imagination and sensation; ",,,,,,,
correspondence,"Descartes, René",06/??/1645,June 1645,"Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 94-5; Bennett 17,"attention, diversion of; blood: emotions in; body, human: strength/weakness tied to that of mind; Elisabeth, Princess of Bohemia: health of; evils; good(s); Good sense; Groningen, University of;  Utrecht, University of; ",,,,,,,
correspondence,"Descartes, René",07/21/1645,"July 21, 1645","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 95-6; Bennett 17-8,"attention, diversion of; Elisabeth, Princess of Bohemia: health of; felicity, dependent on oneself; felicity, and fortune; Fortune; ",,,,,,,
correspondence,"Descartes, René",08/04/1645,"August 4, 1645","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 97-9; Bennett 18-20; Foucher 67 (summary),"analogy/analogies: fullness of vessels to contentment of minds; conscience; conscience, and contentment; contentment (of mind); contentment (of mind), dependent on the individual; contentment (of mind), and desires;  contentment (of mind), and fortune; contentment (of mind), and virtue; contentment (of mind), as true happiness; Descartes, René: ethical/moral code; desire(s), and contentment/happiness; desire(s), regulation of; felicity, dependent on oneself; Fortune; will: and virtue; good(s); good(s), knowledge of; good(s), which depend on us versus those which do not; truths, required for the practice of
virtue; ",,Discourse on the Method for Rightly Conducting Reason; ,,,,,
correspondence,"Descartes, René",08/16/1645,"August 16, 1645",Princess Elisabeth,"Descartes, René",The Hague,Y,Shapiro 99-101; Bennett 20-1; Foucher 67-9,"body, human: disorders of; Epicurus: and pain; will: and true happiness; Good sense; truths, required for the practice of
virtue; ",,,,,,,
correspondence,"Descartes, René",08/18/1645,"August 18, 1645","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 101-5; Foucher 70; Bennett 21-3,"action(s), human: final end of; analogy/analogies: archery contest to sovereign good; Aristotle, on the sovereign good; body, human: contentment dependent on; body, human: perfection(s) of; conscience; conscience, and contentment; contentment (of mind); contentment (of mind), versus bodily contentment; contentment (of mind),  and the final end of actions; contentment (of mind), and good judgment; contentment (of mind), and the sovereign good; contentment (of mind), and virtue;  contentment (of mind), as true happiness; custom; desire(s), and contentment/happiness; desire(s), regulation of; duty, knowledge of; Epicurus: on the supreme good; free will, and virtue; will: and order of nature; will: and virtue; Zeno of Citium, on the supreme good; God: order established by; God: submission to will of; good(s), freedom/free will; good(s), which depend on us versus those which do not; ",,,,,,,
correspondence,"Descartes, René",08/??/1645,August 1645,Princess Elisabeth,"Descartes, René",The Hague,Y,Shapiro 105-6; Bennett 23-4; Foucher 70-2,"contentment (of mind), and virtue; Epicurus: on pleasure; Epicurus: on the supreme good; will: and virtue; understanding, and virtue; ",,,,,,,
correspondence,"Descartes, René",09/01/1645,"September 1, 1645","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 106-9; Bennett 24-6; Foucher 73 (summary),"anger; body, human: conservation of; body, human: disorders of; body, human: joined to the soul/mind; body, human: perfection(s) of; body, human: pleasures of; body, human: union with soul/mind; contentment (of mind), causes of; contentment (of mind), and perfection; contentment (of mind), and virtue; desire(s), and contentment/happiness; desire(s), for vengeance; evils; fear; Fortune; free will, and happiness/contentment; free will, and responsibility; freedom, of the mind/soul; freedom, passions; freedom, of reason; freedom, of the will; will: and bodily health; will: and responsibility; will: and true happiness; will: and virtue; good(s), of the body versus of the soul; good(s), just value of; good(s), representation of; union of mind and body; value, measure of; vengeance, desire for; ",,,,,,,
correspondence,"Descartes, René",09/13/1645,"September 13, 1645",Princess Elisabeth,"Descartes, René",The Hague,Y,Shapiro 109-11; Bennett 26-8; Foucher 73-5,"body, human: perfection(s) of; conscience; contentment (of mind), and knowledge of goods; contentment (of mind), and perfection; Fortune; good(s), of individual; good(s), just value of; good(s), knowledge of; habit(s)/Habituation; value, measure of; vanity; ",,,,,,,
correspondence,"Descartes, René",09/15/1645,"September 15, 1645","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 111-4; Bennett 28-30; Foucher 76 (summary),"action(s), human: heroic; body, human: distinct from the soul/mind; body, human: pleasures of; contentment (of mind); custom; duty, knowledge of; evils; extension: of the universe; friendship; God: goodness of; God: infallibility of; God: infinitude of; God: knowledge of; God: love of; God: power of; God: and prayer; will /decrees of; God: works of; good(s), on balance with evils; good(s), common/general/public/of whole; good(s), of individual; good(s), just value of; good(s), knowledge of; good(s), representation of; habit(s)/Habituation; habit(s)/Habituation, and good judgment; understanding, and virtue; universe, vast extent of; value, measure of; ",,,,,,,
correspondence,"Descartes, René",09/30/1645,"September 30, 1645",Princess Elisabeth,"Descartes, René",Riswyck,Y,Shapiro 114-5; Bennett 30-1; Foucher 76-8,"custom; death, attitude towards; enemies; evils; extension: of the universe;  faith, Catholic; free will; free will, of other men; freedom, of the will; will: of men; God: existence of; God: and free actions/will; God: knowledge of; God: order established by; God: omniscience of; God: perfection of; God: power of; God: providence of; good(s), on balance with evils; good(s), common/general/public/of whole; good(s), of individual; good(s), just value of; good(s), knowledge of; good(s), representation of; understanding, and virtue; universe, vast extent of; value, measure of; ",,,,,,,
correspondence,"Descartes, René",10/06/1645,"October 6, 1645","Descartes, René",Princess Elisabeth,Egmond du Hoef,Y,Shapiro 115-22; Bennett 31-5; Foucher 79 (summary),"animals: impressions in brain; animals: nature of; Arminians; attention, diversion of; blood: circulation of; blood: movements accompanying passions; body, human: contentment dependent on; body, human: dispositions of; body, human: perfection(s) of; body, human: pleasures of; brain, and animal spirits; brain, impressions in; causation/causes: universal and particular; charity; compassion; conscience; conscience, and contentment; contentment (of mind); contentment (of mind), causes of; contentment (of mind), and health; contentment (of mind), and the sovereign good; contentment (of mind), and virtue; death, attitude towards; desire(s); Elisabeth, Princess of Bohemia: health of; enemies; evils; expression of passions; extension: of the universe; fear; free will; free will, and God’s decress/power/will; free will, and happiness/contentment; free will, and virtue; freedom, of the will; friendship;  will: determination to some thought; will: of men; will: and true happiness; will: and virtue; God: existence of; God: as first /universal / immutable cause; God: and free actions/will; God: and human thoughts; God: infinitude of; God: order established by; God: omniscience of; God: perfection of; God: power of; God: and prayer; God: providence of; God: works of; good(s), common/general/public/of whole; good(s), of individual; good(s), just value of; good(s), knowledge of; good(s), representation of; habit(s)/Habituation; tickling; tragedies, and happiness/sadness; universe, vast extent of; value, measure of; vanity; ",,,,,,,
